PeakID (cmd=annotatePeaks.pl 4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1028	chr11	62609110	62609282	+	275465	NA	Intergenic--9789	U2|snRNA|snRNA	-1568	NM_018093	54663	Hs.654620	NM_018093	ENSG00000133316	WDR74	-	WD repeat domain 74	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1002	chr11	61735003	61735104	+	179903	NA	5' UTR (NM_002032, exon 1 of 4)	promoter-TSS (NM_002032)	79	NM_002032	2495	Hs.524910	NM_002032	ENSG00000167996	FTH1	FHC|FTH|FTHL6|HFE5|PIG15|PLIF	ferritin, heavy polypeptide 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5953c	chrM	1547	2461	+	86186	NA	NA	Intergenic	NA	NA								
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5953f	chrM	1547	2461	+	60054	NA	NA	Intergenic	NA	NA								
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_792a	chr10	103124606	103124787	+	48576	NA	intron (NM_003939, intron 1 of 13)	U2|snRNA|snRNA	10906	NM_001256856	8945	Hs.643802	NM_003939	ENSG00000166167	BTRC	BETA-TRCP|FBW1A|FBXW1|FBXW1A|FWD1|bTrCP|bTrCP1|betaTrCP	beta-transducin repeat containing E3 ubiquitin protein ligase	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5956c	chrM	2834	3247	+	45183	NA	NA	Intergenic	NA	NA								
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1274	chr12	7052978	7053060	+	37607	NA	5' UTR (NM_001301838, exon 1 of 3)	promoter-TSS (NM_001301838)	39	NR_126035	113246	Hs.405913	NM_138425	ENSG00000111678	C12orf57	C10|GRCC10	chromosome 12 open reading frame 57	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4138	chr4	141186402	141186464	+	36620	NA	intron (NM_032547, intron 1 of 4)	intron (NM_032547, intron 1 of 4)	7993	NM_032547	60592	Hs.480815	NM_032547	ENSG00000153130	SCOC	HRIHFB2072|SCOCO	short coiled-coil protein	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2315	chr17	8076773	8076907	+	29086	NA	3' UTR (NM_032354, exon 5 of 5)	3' UTR (NM_032354, exon 5 of 5)	2874	NM_032354	84314	Hs.513933	NM_032354		TMEM107	GRVS638|PRO1268	transmembrane protein 107	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4611	chr5	116153783	116153832	+	25481	NA	Intergenic--4948	5S|rRNA|rRNA	-55902	NR_104678	102467223	Hs.570916	NR_104678		LOC102467223	-	uncharacterized LOC102467223	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_176	chr1	45196720	45196842	+	24841	NA	Intergenic--493	U5|snRNA|snRNA	-8709	NM_001297655	11004	Hs.720061	NM_006845	ENSG00000142945	KIF2C	CT139|KNSL6|MCAK	kinesin family member 2C	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3530	chr2	239057603	239057657	+	24585	NA	intron (NM_198582, intron 6 of 7)	intron (NM_198582, intron 6 of 7)	-10019	NM_001291832	151176	Hs.24951	NM_152521		FAM132B	C1QTNF15|CTRP15	family with sequence similarity 132, member B	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5951	chrM	874	1054	+	21022	NA	NA	Intergenic	NA	NA								
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_36	chr1	11968208	11968349	+	14887	NA	Intergenic--121	U5|snRNA|snRNA	18207	NM_138346	90231	Hs.520094	NM_138346	ENSG00000116685	KIAA2013	-	KIAA2013	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1562	chr13	46948600	46948725	+	14148	NA	intron (NM_001286761, intron 2 of 14)	U2|snRNA|snRNA	12973	NM_001286766	80183	Hs.98117	NM_025113	ENSG00000102445	KIAA0226L	C13orf18	KIAA0226-like	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5950a	chrM	588	797	+	13211	NA	NA	Intergenic	NA	NA								
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5735	chrM	15895	16015	+	13058	NA	NA	Intergenic	NA	NA								
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5953b	chrM	1547	2461	+	12440	NA	NA	Intergenic	NA	NA								
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3872	chr22	43011249	43011416	+	12372	NA	non-coding (NR_029422, exon 1 of 1)	promoter-TSS (NM_032311)	81	NR_029422	267010	Hs.574857	NR_029422	ENSG00000276027	RNU12	RNU12-1|RNU12L|RNU12P|dJ222E13.7	RNA, U12 small nuclear	snRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4585	chr6	26124074	26124157	+	11189	NA	exon (NM_003526, exon 1 of 1)	promoter-TSS (NM_003526)	17	NM_003526	8347	Hs.658713	NM_003526		HIST1H2BC	H2B.1|H2B/l|H2BFL|dJ221C16.3	histone cluster 1, H2bc	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_983	chr11	59327797	59327875	+	11130	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	34795	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4253	chr5	40835241	40835340	+	10587	NA	5' UTR (NM_000997, exon 1 of 4)	promoter-TSS (NM_000997)	97	NM_000997	6167	Hs.447582	NM_000997		RPL37	L37	ribosomal protein L37	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4745	chr6	66363813	66363870	+	10327	NA	intron (NM_001142801, intron 1 of 11)	intron (NM_001142801, intron 1 of 11)	53277	NM_001292009	346007	Hs.25067	NM_198283	ENSG00000188107	EYS	C6orf178|C6orf179|C6orf180|EGFL10|EGFL11|RP25|SPAM|bA166P24.2|bA307F22.3|bA74E24.1|dJ1018A4.2|dJ22I17.2|dJ303F19.1	eyes shut homolog (Drosophila)	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5238	chr8	27472128	27472219	+	10129	NA	5' UTR (NM_001831, exon 1 of 9)	5' UTR (NM_001831, exon 1 of 9)	155	NM_001831	1191	Hs.436657	NM_001831	ENSG00000120885	CLU	AAG4|APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2	clusterin	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3932	chr3	181540688	181540780	+	9977	NA	Intergenic--3670	5S|rRNA|rRNA	111022	NM_003106	6657	Hs.518438	NM_003106	ENSG00000181449	SOX2	ANOP3|MCOPS3	SRY box 2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2012	chr15	65597015	65597152	+	9865	NA	Intergenic--12418	U5|snRNA|snRNA	-17902	NM_001316943	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5572	chr8	60368444	60368505	+	9810	NA	Intergenic--7432	5S|rRNA|rRNA	-336707	NM_014729	9760	Hs.491805	NM_014729	ENSG00000198846	TOX	TOX1	thymocyte selection-associated high mobility group box	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5734	chrM	5778	5888	+	9528	NA	NA	Intergenic	NA	NA								
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1390	chr12	85287731	85287807	+	9510	NA	intron (NM_018057, intron 1 of 4)	U2|snRNA|snRNA	18839	NM_018057	55117	Hs.44424	NM_018057	ENSG00000072041	SLC6A15	NTT73|SBAT1|V7-3|hv7-3	solute carrier family 6 (neutral amino acid transporter), member 15	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5399	chr7	128337747	128337809	+	9459	NA	Intergenic--6920	5S|rRNA|rRNA	-11337	NM_001282789	84691	Hs.732440	NM_032599	ENSG00000135248	FAM71F1	FAM137A|NYD-SP18	family with sequence similarity 71, member F1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5003	chr6	52860610	52860762	+	9452	NA	Intergenic	promoter-TSS (NM_001512)	-508	NM_001512	2941	Hs.485557	NM_001512	ENSG00000170899	GSTA4	GSTA4-4|GTA4	glutathione S-transferase alpha 4	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_554	chr1	210547477	210547614	+	9441	NA	intron (NM_018194, intron 3 of 11)	U5|snRNA|snRNA	44905	NM_001170580	55733	Hs.58650	NM_018194	ENSG00000054392	HHAT	MART2|SKI1|Skn	hedgehog acyltransferase	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3930	chr3	179879676	179879765	+	9080	NA	Intergenic--3665	5S|rRNA|rRNA	-124879	NM_016559	51555	Hs.235331	NM_016559	ENSG00000114757	PEX5L	PEX5R|PEX5RP|PXR2|PXR2B|TRIP8b	peroxisomal biogenesis factor 5-like	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5967a	chrM	12139	12387	+	9080	NA	NA	Intergenic	NA	NA								
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2011	chr15	65588388	65588529	+	8934	NA	Intergenic--12418	U5|snRNA|snRNA	-9277	NM_001316943	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2270	chr16	68562245	68562295	+	8735	NA	Intergenic--13177	Intergenic	-10846	NM_001305206	146198	Hs.461074	NM_133458	ENSG00000184939	ZFP90	FIK|NK10|ZNF756|zfp-90	ZFP90 zinc finger protein	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5577	chr9	72803580	72803665	+	8698	NA	intron (NM_153267, intron 11 of 13)	U2|snRNA|snRNA	-12818	NR_040076	100507244	Hs.556816	NR_040076	ENSG00000204706	MAMDC2-AS1	-	MAMDC2 antisense RNA 1	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4476	chr5	149829227	149829308	+	8664	NA	5' UTR (NM_005617, exon 1 of 5)	promoter-TSS (NM_005617)	52	NM_005617	6208	Hs.744846	NM_005617	ENSG00000164587	RPS14	EMTB|S14	ribosomal protein S14	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1971	chr15	45003711	45003841	+	8130	NA	exon (NM_004048, exon 1 of 4)	promoter-TSS (NM_004048)	91	NM_004048	567	Hs.534255	NM_004048	ENSG00000166710	B2M	-	beta-2-microglobulin	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5248	chr7	44836278	44836337	+	7920	NA	5' UTR (NM_021130, exon 1 of 5)	promoter-TSS (NM_021130)	72	NM_001300981	5478	Hs.356331	NM_021130	ENSG00000196262	PPIA	CYPA|CYPH|HEL-S-69p	peptidylprolyl isomerase A (cyclophilin A)	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_977	chr11	59323936	59323989	+	7883	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	38669	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
