PeakID (cmd=annotatePeaks.pl 4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5plus_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_356	chr11	62609110	62609281	+	115178	NA	Intergenic--9789	U2|snRNA|snRNA	-1567	NM_018093	54663	Hs.654620	NM_018093	ENSG00000133316	WDR74	-	WD repeat domain 74	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_350	chr11	61734986	61735103	+	56996	NA	5' UTR (NM_002032, exon 1 of 4)	promoter-TSS (NM_002032)	88	NM_002032	2495	Hs.524910	NM_002032	ENSG00000167996	FTH1	FHC|FTH|FTHL6|HFE5|PIG15|PLIF	ferritin, heavy polypeptide 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_2048f	chrM	1546	2462	+	36973	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1378	chr3	134502337	134502397	+	31642	NA	Intergenic--3484	5S|rRNA|rRNA	-11732	NM_004441	2047	Hs.116092	NM_004441	ENSG00000154928	EPHB1	ELK|EPHT2|Hek6|NET	EPH receptor B1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_2051d	chrM	2846	3243	+	22308	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_271a	chr10	103124621	103124788	+	21901	NA	intron (NM_003939, intron 1 of 13)	U2|snRNA|snRNA	10914	NM_033637	8945	Hs.643802	NM_003939	ENSG00000166167	BTRC	BETA-TRCP|FBW1A|FBXW1|FBXW1A|FWD1|bTrCP|bTrCP1|betaTrCP	beta-transducin repeat containing E3 ubiquitin protein ligase	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_2048c	chrM	1546	2462	+	19536	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_339	chr11	57587105	57587168	+	12155	NA	Intergenic	TTS (NM_001085463)	57902	NM_001085458	1500	Hs.166011	NM_001331	ENSG00000198561	CTNND1	CAS|CTNND|P120CAS|P120CTN|p120|p120(CAS)|p120(CTN)	catenin (cadherin-associated protein), delta 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_2037	chrX	75875478	75875528	+	8959	NA	Intergenic--17096	5S|rRNA|rRNA	227457	NM_020932	57692	Hs.8453	NM_020932	ENSG00000198934	MAGEE1	DAMAGE|HCA1	MAGE family member E1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1454	chr3	150905886	150905970	+	8720	NA	intron (NM_053002, intron 11 of 42)	5S|rRNA|rRNA	15060	NM_013308	29909	Hs.549152	NM_013308	ENSG00000174946	GPR171	H963	G protein-coupled receptor 171	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_445	chr12	7052980	7053059	+	8659	NA	5' UTR (NM_001301838, exon 1 of 3)	promoter-TSS (NM_001301838)	39	NM_001301838	113246	Hs.405913	NM_138425	ENSG00000111678	C12orf57	C10|GRCC10	chromosome 12 open reading frame 57	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_843	chr17	8076777	8076907	+	7342	NA	3' UTR (NM_032354, exon 5 of 5)	3' UTR (NM_032354, exon 5 of 5)	2872	NM_183065	84314	Hs.513933	NM_032354		TMEM107	GRVS638|PRO1268	transmembrane protein 107	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1930	chr8	60368444	60368507	+	7106	NA	Intergenic--7432	5S|rRNA|rRNA	-336708	NM_014729	9760	Hs.491805	NM_014729	ENSG00000198846	TOX	TOX1	thymocyte selection-associated high mobility group box	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_2046	chrM	895	1044	+	6699	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_2048b	chrM	1546	2462	+	6603	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1404	chr3	181540689	181540780	+	6494	NA	Intergenic--3670	5S|rRNA|rRNA	111022	NM_003106	6657	Hs.518438	NM_003106	ENSG00000181449	SOX2	ANOP3|MCOPS3	SRY box 2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_535	chr12	104519013	104519077	+	6447	NA	intron (NM_006166, intron 4 of 7)	promoter-TSS (NR_106988).14	-8	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1141	chr2	131584231	131584291	+	6344	NA	Intergenic--2374	5S|rRNA|rRNA	70397	NM_001105195	205147	Hs.369289	NM_152698	ENSG00000178171	AMER3	FAM123C	APC membrane recruitment protein 3	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_14	chr1	11968208	11968346	+	6106	NA	Intergenic--121	U5|snRNA|snRNA	18208	NM_138346	90231	Hs.520094	NM_138346	ENSG00000116685	KIAA2013	-	KIAA2013	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_638	chr14	76529560	76529620	+	6063	NA	intron (NM_001102564, intron 5 of 8)	5S|rRNA|rRNA	77494	NR_045664	112752	Hs.532626	NM_052873	ENSG00000119650	IFT43	C14orf179|CED3	intraflagellar transport 43	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_342	chr11	59327802	59327875	+	5989	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	34793	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
