PeakID (cmd=annotatePeaks.pl 4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5plus_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1064	chr11	62609110	62609282	+	444036	NA	Intergenic--9789	U2|snRNA|snRNA	-1568	NM_018093	54663	Hs.654620	NM_018093	ENSG00000133316	WDR74	-	WD repeat domain 74	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6000g	chrM	1253	2728	+	104048	NA	NA	Intergenic	NA	NA								
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_827a	chr10	103124597	103124789	+	94668	NA	intron (NM_003939, intron 1 of 13)	U2|snRNA|snRNA	10903	NM_003939	8945	Hs.643802	NM_003939	ENSG00000166167	BTRC	BETA-TRCP|FBW1A|FBXW1|FBXW1A|FWD1|bTrCP|bTrCP1|betaTrCP	beta-transducin repeat containing E3 ubiquitin protein ligase	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1042	chr11	61734986	61735104	+	94013	NA	5' UTR (NM_002032, exon 1 of 4)	promoter-TSS (NM_002032)	87	NM_002032	2495	Hs.524910	NM_002032	ENSG00000167996	FTH1	FHC|FTH|FTHL6|HFE5|PIG15|PLIF	ferritin, heavy polypeptide 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4652	chr5	116153783	116153833	+	79206	NA	Intergenic--4948	5S|rRNA|rRNA	-55903	NR_104678	102467223	Hs.570916	NR_104678		LOC102467223	-	uncharacterized LOC102467223	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4202	chr4	141186402	141186464	+	71289	NA	intron (NM_032547, intron 1 of 4)	intron (NM_032547, intron 1 of 4)	7993	NM_032547	60592	Hs.480815	NM_032547	ENSG00000153130	SCOC	HRIHFB2072|SCOCO	short coiled-coil protein	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6000j	chrM	1253	2728	+	64184	NA	NA	Intergenic	NA	NA								
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1176	chr11	93463733	93463814	+	47037	NA	non-coding (NR_003028, exon 1 of 1)	promoter-TSS (NR_003028)	39	NR_003028	684959	Hs.738736	NR_003028	ENSG00000207112	SNORA25	ACA25	small nucleolar RNA, H/ACA box 25	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2326	chr17	8076772	8076907	+	45818	NA	3' UTR (NM_032354, exon 5 of 5)	3' UTR (NM_032354, exon 5 of 5)	2875	NM_183065	84314	Hs.513933	NM_032354		TMEM107	GRVS638|PRO1268	transmembrane protein 107	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1232	chr12	7052978	7053058	+	45213	NA	5' UTR (NM_001301838, exon 1 of 3)	promoter-TSS (NM_001301838)	38	NM_138425	113246	Hs.405913	NM_138425	ENSG00000111678	C12orf57	C10|GRCC10	chromosome 12 open reading frame 57	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6001c	chrM	2832	3247	+	43286	NA	NA	Intergenic	NA	NA								
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3547	chr2	239057603	239057657	+	40257	NA	intron (NM_198582, intron 6 of 7)	intron (NM_198582, intron 6 of 7)	-10019	NM_001291832	151176	Hs.24951	NM_152521		FAM132B	C1QTNF15|CTRP15	family with sequence similarity 132, member B	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3704	chr3	12196517	12196572	+	34446	NA	intron (NM_003256, intron 3 of 4)	5S|rRNA|rRNA	4307	NM_003256	7079	Hs.591665	NM_003256	ENSG00000157150	TIMP4	-	TIMP metallopeptidase inhibitor 4	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_194	chr1	45196720	45196842	+	33242	NA	Intergenic--493	U5|snRNA|snRNA	-8709	NM_006845	11004	Hs.720061	NM_006845	ENSG00000142945	KIF2C	CT139|KNSL6|MCAK	kinesin family member 2C	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5999	chrM	874	1054	+	29986	NA	NA	Intergenic	NA	NA								
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6000f	chrM	1253	2728	+	26814	NA	NA	Intergenic	NA	NA								
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5829	chrM	15895	16023	+	19706	NA	NA	Intergenic	NA	NA								
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1576	chr13	46948600	46948725	+	18953	NA	intron (NM_001286761, intron 2 of 14)	U2|snRNA|snRNA	12973	NM_001286766	80183	Hs.98117	NM_025113	ENSG00000102445	KIAA0226L	C13orf18	KIAA0226-like	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5031	chr6	52860613	52860762	+	18581	NA	Intergenic	promoter-TSS (NM_001512)	-509	NM_001512	2941	Hs.485557	NM_001512	ENSG00000170899	GSTA4	GSTA4-4|GTA4	glutathione S-transferase alpha 4	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2011	chr15	65597014	65597152	+	18581	NA	Intergenic--12418	U5|snRNA|snRNA	-17902	NM_001316944	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1025	chr11	59327797	59327875	+	17130	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	34795	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
