PeakID (cmd=annotatePeaks.pl 4E1-PMA-01_S10b_sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-PMA-01_S10b_sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-PMA-01_S10b_sorted_rstrand_peak_806	chr11	62609111	62609282	+	223239	NA	Intergenic--9789	U2|snRNA|snRNA	-1568	NM_018093	54663	Hs.654620	NM_018093	ENSG00000133316	WDR74	-	WD repeat domain 74	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_789	chr11	61734999	61735104	+	92106	NA	5' UTR (NM_002032, exon 1 of 4)	promoter-TSS (NM_002032)	81	NM_002032	2495	Hs.524910	NM_002032	ENSG00000167996	FTH1	FHC|FTH|FTHL6|HFE5|PIG15|PLIF	ferritin, heavy polypeptide 1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_977	chr12	28867775	28867826	+	80519	NA	Intergenic--10516	Intergenic	-434136	NM_001271783	55711	Hs.684482	NM_018099	ENSG00000064763	FAR2	HEL-S-81|MLSTD1|SDR10E2	fatty acyl-CoA reductase 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4542d	chrM	1529	1936	+	49249	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10b_sorted_fstrand_peak_3565	chr5	116153783	116153832	+	44368	NA	Intergenic--4948	5S|rRNA|rRNA	-55902	NR_104678	102467223	Hs.570916	NR_104678		LOC102467223	-	uncharacterized LOC102467223	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_989	chr12	7052978	7053060	+	40731	NA	5' UTR (NM_001301838, exon 1 of 3)	promoter-TSS (NM_001301838)	39	NR_126035	113246	Hs.405913	NM_138425	ENSG00000111678	C12orf57	C10|GRCC10	chromosome 12 open reading frame 57	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3124	chr4	141186402	141186464	+	40508	NA	intron (NM_032547, intron 1 of 4)	intron (NM_032547, intron 1 of 4)	7993	NM_032547	60592	Hs.480815	NM_032547	ENSG00000153130	SCOC	HRIHFB2072|SCOCO	short coiled-coil protein	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4543c	chrM	1995	2462	+	40256	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10b_sorted_rstrand_peak_629a	chr10	103124595	103124789	+	37370	NA	intron (NM_003939, intron 1 of 13)	U2|snRNA|snRNA	10902	NM_003939	8945	Hs.643802	NM_003939	ENSG00000166167	BTRC	BETA-TRCP|FBW1A|FBXW1|FBXW1A|FWD1|bTrCP|bTrCP1|betaTrCP	beta-transducin repeat containing E3 ubiquitin protein ligase	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_882	chr11	93463733	93463814	+	35491	NA	non-coding (NR_003028, exon 1 of 1)	promoter-TSS (NR_003028)	39	NR_003028	684959	Hs.738736	NR_003028	ENSG00000207112	SNORA25	ACA25	small nucleolar RNA, H/ACA box 25	snoRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_4545c	chrM	2839	3248	+	28414	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10b_sorted_rstrand_peak_1744	chr17	8076775	8076907	+	27197	NA	3' UTR (NM_032354, exon 5 of 5)	3' UTR (NM_032354, exon 5 of 5)	2873	NM_032354	84314	Hs.513933	NM_032354		TMEM107	GRVS638|PRO1268	transmembrane protein 107	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2738	chr2	239057603	239057657	+	23609	NA	intron (NM_198582, intron 6 of 7)	intron (NM_198582, intron 6 of 7)	-10019	NM_001291832	151176	Hs.24951	NM_152521		FAM132B	C1QTNF15|CTRP15	family with sequence similarity 132, member B	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4364	chrM	15895	16024	+	19974	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10b_sorted_rstrand_peak_1215	chr13	46948600	46948725	+	19049	NA	intron (NM_001286761, intron 2 of 14)	U2|snRNA|snRNA	12973	NM_001286762	80183	Hs.98117	NM_025113	ENSG00000102445	KIAA0226L	C13orf18	KIAA0226-like	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_151	chr1	45196715	45196842	+	18330	NA	Intergenic--493	U5|snRNA|snRNA	-8712	NM_006845	11004	Hs.720061	NM_006845	ENSG00000142945	KIF2C	CT139|KNSL6|MCAK	kinesin family member 2C	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4539a	chrM	588	798	+	16108	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10b_sorted_fstrand_peak_4540	chrM	900	1058	+	13749	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10b_sorted_fstrand_peak_750	chr11	59323935	59323991	+	11995	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	38668	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_3845	chr6	52860623	52860762	+	11991	NA	Intergenic	promoter-TSS (NM_001512)	-514	NM_001512	2941	Hs.485557	NM_001512	ENSG00000170899	GSTA4	GSTA4-4|GTA4	glutathione S-transferase alpha 4	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4556b	chrM	12083	12331	+	11304	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10b_sorted_fstrand_peak_4542c	chrM	1529	1936	+	10980	NA	NA	Intergenic	NA	NA								
