PeakID (cmd=annotatePeaks.pl 4E1-PMA-01_S10a_sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-PMA-01_S10a_sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-PMA-01_S10a_sorted_rstrand_peak_799	chr11	62609110	62609282	+	221856	NA	Intergenic--9789	U2|snRNA|snRNA	-1568	NM_018093	54663	Hs.654620	NM_018093	ENSG00000133316	WDR74	-	WD repeat domain 74	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_780	chr11	61734987	61735104	+	92809	NA	5' UTR (NM_002032, exon 1 of 4)	promoter-TSS (NM_002032)	87	NM_002032	2495	Hs.524910	NM_002032	ENSG00000167996	FTH1	FHC|FTH|FTHL6|HFE5|PIG15|PLIF	ferritin, heavy polypeptide 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_999	chr12	28867775	28867826	+	82295	NA	Intergenic--10516	Intergenic	-434136	NM_001271783	55711	Hs.684482	NM_018099	ENSG00000064763	FAR2	HEL-S-81|MLSTD1|SDR10E2	fatty acyl-CoA reductase 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4554d	chrM	1529	1936	+	51487	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_fstrand_peak_3558	chr5	116153783	116153832	+	45527	NA	Intergenic--4948	5S|rRNA|rRNA	-55902	NR_104678	102467223	Hs.570916	NR_104678		LOC102467223	-	uncharacterized LOC102467223	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3105	chr4	141186402	141186464	+	40527	NA	intron (NM_032547, intron 1 of 4)	intron (NM_032547, intron 1 of 4)	7993	NM_032547	60592	Hs.480815	NM_032547	ENSG00000153130	SCOC	HRIHFB2072|SCOCO	short coiled-coil protein	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_979	chr12	7052978	7053059	+	39805	NA	5' UTR (NM_001301838, exon 1 of 3)	promoter-TSS (NM_001301838)	38	NM_138425	113246	Hs.405913	NM_138425	ENSG00000111678	C12orf57	C10|GRCC10	chromosome 12 open reading frame 57	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4555c	chrM	1994	2462	+	37693	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_rstrand_peak_612a	chr10	103124583	103124789	+	36700	NA	intron (NM_003939, intron 1 of 13)	U2|snRNA|snRNA	10896	NM_001256856	8945	Hs.643802	NM_003939	ENSG00000166167	BTRC	BETA-TRCP|FBW1A|FBXW1|FBXW1A|FWD1|bTrCP|bTrCP1|betaTrCP	beta-transducin repeat containing E3 ubiquitin protein ligase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_895	chr11	93463732	93463815	+	32830	NA	non-coding (NR_003028, exon 1 of 1)	promoter-TSS (NR_003028)	39	NR_003028	684959	Hs.738736	NR_003028	ENSG00000207112	SNORA25	ACA25	small nucleolar RNA, H/ACA box 25	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4557c	chrM	2839	3248	+	27956	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_rstrand_peak_1758	chr17	8076773	8076907	+	27928	NA	3' UTR (NM_032354, exon 5 of 5)	3' UTR (NM_032354, exon 5 of 5)	2874	NM_032354	84314	Hs.513933	NM_032354		TMEM107	GRVS638|PRO1268	transmembrane protein 107	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2726	chr2	239057603	239057657	+	23048	NA	intron (NM_198582, intron 6 of 7)	intron (NM_198582, intron 6 of 7)	-10019	NM_001291832	151176	Hs.24951	NM_152521		FAM132B	C1QTNF15|CTRP15	family with sequence similarity 132, member B	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4375	chrM	15932	16023	+	21388	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_rstrand_peak_145	chr1	45196713	45196842	+	19729	NA	Intergenic--493	U5|snRNA|snRNA	-8713	NM_006845	11004	Hs.720061	NM_006845	ENSG00000142945	KIF2C	CT139|KNSL6|MCAK	kinesin family member 2C	protein-coding
